id,period,stata_weight
18,1,.8069472536910066
18,2,.9310532770603196
18,3,1.12014610449482
18,4,.8925432893936015
18,5,.8928206722600603
18,6,.8176807470996382
18,7,.7393598053302471
19,0,.7941222616657649
19,1,1.495438180760619
19,2,1.930517031342578
19,3,2.155811789826711
19,4,3.074905355275298
19,5,3.679505945691109
19,6,3.496248663361789
19,7,3.086321597603065
20,0,1.308552338894575
20,1,1.158569531851244
20,2,1.008640809562542
20,3,.933743055579732
20,4,.8540356908909513
20,5,.8771470211822963
20,6,1.000307677243634
20,7,.6964732137130685
21,0,1.125768814615297
21,1,.9213481161012493
21,2,.8311129829032853
21,3,.782331452672957
21,4,.7975929504796103
21,5,.8148467304830667
21,6,.825969162867894
21,7,.9550500168807695
22,0,.770304444049066
22,1,.9441560751038816
22,2,1.129519502929058
22,3,1.583821502535183
22,4,1.628043057000806
22,5,1.369022789737565
22,6,1.12960127215421
22,7,1.12960127215421
23,0,1.111703219992854
23,1,1.002101554210507
23,2,.9699136698706733
23,3,.952446464309496
23,4,1.057762704927408
23,5,1.157719200822905
23,6,1.322589293535479
23,7,1.270811974575937
24,0,1.122902671152481
24,1,1.257471873166304
24,2,1.012299416335755
24,3,1.345571445806447
24,4,1.628733447320682
24,5,1.827768274328945
24,6,1.771361679520442
24,7,1.748397150655633
25,0,.8878787518893827
25,1,.7990075068409919
25,2,.769844238703127
25,3,.7050615246913625
25,4,.6680800536451432
25,5,.703130219781121
25,6,.6947531782687754
25,7,.7751156305534819
26,0,1.027211420902431
26,1,.885585992791373
26,2,.7662992020215442
26,3,.8373678087542118
26,4,.7189232456115119
26,5,.6693132118606628
26,6,.7219156127209536
26,7,.8379698771206352
27,0,1.138155655550417
27,1,1.224093005130086
27,2,1.135750402645565
27,3,1.364274589129736
27,4,1.21674865032744
27,5,1.628435618344559
27,6,1.120545776287303
27,7,.9910045945421861
28,0,1.003742063700271
28,1,.9529973340272631
28,2,.8990550673874558
28,3,.9080540574755869
28,4,1.009679317711709
28,5,1.012956258790427
28,6,.8832010899305726
28,7,.7680581254189719
29,0,1.812404357747049
29,1,2.274784315683083
29,2,2.956640686706871
29,3,3.122066599304709
29,4,3.510896582711005
29,5,3.854746747918409
29,6,4.231180098213821
29,7,4.256371284577543
30,0,.6669431046195928
30,1,.7166685842699669
30,2,.7576337563964259
30,3,.660950172430964
30,4,.6679767883352137
30,5,.6886554199684394
30,6,.7029441419383129
30,7,.7406216636015492
31,0,1.276855942488474
31,1,1.345891508522061
31,2,1.326929119809362
31,3,1.42848195478085
31,4,1.410323344562966
31,5,1.689859526394936
31,6,1.702367373934747
31,7,1.518288419985045
32,0,.8496728083382037
32,1,.8188166645411336
32,2,.7500415225889919
32,3,.7611754599873205
32,4,.676572253924111
32,5,.676572253924111
32,6,.676572253924111
32,7,.676572253924111
33,0,.859133307677297
33,1,.7857650986655741
33,2,.8564332592653755
33,3,.6502942775308735
33,4,.6842666466976959
33,5,.6006763198234109
33,6,.5435986992768609
33,7,.5706984997710149
34,0,.9030940892017469
34,1,.8739519784642719
34,2,.8521950473802204
34,3,1.040836274797952
34,4,1.422594909554963
34,5,1.18010181697391
34,6,.8155051580422394
34,7,.7282559798658949
35,0,1.001672738796077
35,1,.9878870282683575
35,2,.7285097309016191
35,3,.6028885692839214
35,4,.5524588428782797
35,5,.6371711424478013
35,6,.5881311023466304
35,7,.5769296057252815
36,0,.812095683956416
36,1,.6594031616459239
36,2,.8817637292938171
36,3,1.229555233618518
36,4,1.206012085117595
36,5,1.410887472901989
36,6,1.233540541628913
36,7,1.410421377690573
37,0,1.035526352942362
37,1,1.017538453775962
37,2,.9460201437551469
37,3,.8310881108540447
37,4,.7962447984215882
37,5,.8503612635438699
37,6,.8503612635438699
37,7,.8503612635438699
38,0,.9570131457381812
38,1,.895886347190629
38,2,.8251130027845134
38,3,.8444845918429819
38,4,.8189877976290414
38,5,.804224504153918
38,6,.7970037479859902
38,7,.7734694138907453
39,0,.9020903858108076
39,1,.7943205756516529
39,2,.7952435574719491
39,3,.7448351127683732
39,4,.7438708698811857
39,5,.7500345927881463
39,6,.7255036341273347
39,7,.6723722141771652
40,0,.9230299835988106
40,1,1.316491199771898
40,2,1.142181602520688
40,3,1.11370951408465
40,4,1.043173841975568
40,5,.9384679656499415
40,6,1.108841344882177
40,7,1.045870059451766
41,0,1.17265985001411
41,1,1.226672404903665
41,2,1.279295381386933
41,3,1.167277826468088
41,4,1.291406111468784
41,5,1.043406977147959
41,6,.9472475047032964
41,7,1.016684407166788
42,0,1.018350876574295
42,1,.8997749513862897
42,2,.7881879501628241
42,3,.7712871526413384
42,4,.6896392798840335
42,5,.6764633135887225
42,6,.6247396388288935
42,7,.58432159645139
43,0,1.141225558251792
43,1,1.424725065977613
43,2,.9122108064659652
43,3,.7567507126834179
43,4,.5611044662061845
43,5,.5003572794045551
43,6,.3762104458648333
43,7,.3668306134819212
44,0,.9762458307664174
44,1,.9315554348004408
44,2,.8275225387597553
44,3,1.00891109111254
44,4,.8540471246358244
44,5,.8212007629890657
44,6,.7964542081080993
44,7,.727635038349677
45,0,1.061689950495265
45,1,1.369061213747198
45,2,1.273951246023612
